Date,Suceptible,Confirmed,Recovered
2022-02-22,0.34877204905203113,0.3572759503855441,0.29395200056242476
2022-02-23,0.3370000302693878,0.3629073063467095,0.3000926633839027
2022-02-24,0.32503506855039904,0.3685099161537958,0.30645501529580516
2022-02-25,0.3127822547178747,0.37362157601961454,0.31359616926251077
2022-02-26,0.30091770925178957,0.37888833232272634,0.3201939584254841
2022-02-27,0.28967499465403557,0.38415876000964716,0.32616624533631733
2022-02-28,0.27909066853360437,0.38886656765647565,0.33204276380992
2022-03-01,0.26844947502140826,0.3934413852834142,0.3381091396951775
2022-03-02,0.2571570014558599,0.39865119608021193,0.34419180246392816
2022-03-03,0.2455369935858191,0.40421763885105216,0.35024536756312874
2022-03-04,0.23400767670731554,0.4095016584695212,0.35649066482316333
2022-03-05,0.22300176636524216,0.414495013850686,0.36250321978407185
2022-03-06,0.2131531621257703,0.41914075948823254,0.36770607838599717
2022-03-07,0.2042462287760329,0.42288982821634213,0.37286394300762493
2022-03-08,0.19534460721563618,0.4264043970679704,0.3782509957163934
2022-03-09,0.18600074013535298,0.43078607647219075,0.3832131833924563
2022-03-10,0.17633371316532848,0.4356896391791333,0.3879766476555383
2022-03-11,0.1663575869244056,0.4403523356738405,0.39329007740175387
2022-03-12,0.15666661784507346,0.4446980433281875,0.398635338826739
2022-03-13,0.1477642932537346,0.4488681494760955,0.40336755727016993
2022-03-14,0.13965756534526141,0.4522986670728623,0.40804376758187627
2022-03-15,0.12728843894908592,0.4577414545124334,0.4149701065384807
2022-03-16,0.1231831288196794,0.4595867154492026,0.417230155731118
2022-03-17,0.11881777535622676,0.4617307254791107,0.41945149916466257
2022-03-18,0.10565617685915069,0.46802109483399196,0.42632272830685736
2022-03-19,0.09744586905853415,0.4717297002256534,0.43082443071581245
2022-03-20,0.08988149046465463,0.4750864776880437,0.43503203184730166
2022-03-21,0.08312376176234235,0.4778134956553664,0.4390627425822912
2022-03-22,0.07708894415493239,0.47981041598926705,0.44310063985580056
2022-03-23,0.07058379884722454,0.48207554262759766,0.4473406585251778
2022-03-24,0.06335781248016623,0.48542095442308986,0.4512212330967439
2022-03-25,0.05552885990839116,0.48922228178456595,0.4552488583070429
2022-03-26,0.04747087547857367,0.4929421356713018,0.45958698885012456
2022-03-27,0.04031905887591211,0.4964802951167666,0.4632006460073213
2022-03-28,0.03392819515357809,0.4994669267881153,0.46660487805830664
2022-03-29,0.027698755147016463,0.5023744284211975,0.46992681643178597
2022-03-30,0.020882401475583835,0.5060547954033494,0.4730628031210668
2022-03-31,0.014018476043732431,0.5099913781066401,0.47599014584962757
2022-04-01,0.007138771472957231,0.5139594019159546,0.47890182661108815
2022-04-02,0.0,0.5179007886640167,0.4820992113359834
2022-04-03,0.4971629381615936,0.26043808592014545,0.24239897591826093
